abbreviation,full_name,smiles_pubchem,smiles_opsin,smiles_cactus,smiles_final,doi
6FDA,"2,2-bis(3,4-dicarboxyphenyl)-hexafluoropropane dianhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.10.31
TFDB,"2,2'-bis(trifluoromethyl)-4,4'-diaminobiphenyl",C1=CC(=C(C=C1N)C(F)(F)F)C2=C(C=C(C=C2)N)C(F)(F)F,FC(C1=C(C=CC(=C1)N)C1=C(C=C(C=C1)N)C(F)(F)F)(F)F,nan,nan,photopolymer.10.31
PMDA,nan,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,nan,photopolymer.10.31
ODA,nan,nan,nan,[Na+].[O-][S]1(=NC(=O)c2ccccc12)=O,nan,photopolymer.10.31
DMDB,nan,CC1=CC(=C(C=C1C)NS(=O)(=O)C2=CC=CC=C2)NS(=O)(=O)C3=CC=CC=C3,nan,nan,nan,photopolymer.10.31
6FDA,"2,2-bis(3,4-dicarboxyphenyl)-hexafluoropropane dianhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.10.31
TFDB,"2,2'-bis(trifluoromethyl)-4,4'-diaminobiphenyl",C1=CC(=C(C=C1N)C(F)(F)F)C2=C(C=C(C=C2)N)C(F)(F)F,FC(C1=C(C=CC(=C1)N)C1=C(C=C(C=C1)N)C(F)(F)F)(F)F,nan,nan,photopolymer.10.31
PMDA,nan,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,nan,photopolymer.10.31
ODA,nan,nan,nan,[Na+].[O-][S]1(=NC(=O)c2ccccc12)=O,nan,photopolymer.10.31
PMDA,Pyromellitic dianhydride,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,nan,photopolymer.10.37
6FDA,"4,4'-(hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.10.37
BAPE,Bis(4-aminophenyl) ether,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,NC1=CC=C(C=C1)OC1=CC=C(C=C1)N,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.10.37
DDTA,"[4,4'-diamino-4""-(4-nitrophenyl)diazenyl]triphenylamine;[4,4'-Diamino-4""-(4-nitrophenyl)diazenyl)-triphenylamine",C1COCCOCC1(N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,nan,nan,nan,photopolymer.10.37
6FDA,"4,4'-(hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.11.211
DDE,"4,4'-diaminodiphenyl ether",nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,nan,photopolymer.11.231
BAB,"1,3-bis(4-aminophenyl)benzene",nan,NC1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=C(C=C1)N,nan,nan,photopolymer.11.231
PMDA,pyromellitic dianhydride,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,nan,photopolymer.11.231
DPM,"4,4'-diaminodiphenylmethane",nan,nan,Nc1ccc(Cc2ccc(N)cc2)cc1,nan,photopolymer.11.237
DCHM,"4,4'-diaminodicyclohexylmethane",nan,nan,NC1CCC(CC1)CC2CCC(N)CC2,nan,photopolymer.11.237
PMDA,pyromellitic dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,nan,photopolymer.14.33
s-BPDA,"3,3',4,4'-biphenyltetracarboxylic dianhydride",C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.14.33
ODPA,"4,4'-oxydiphthalic anhydride",C1=CC2=C(C=C1OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.14.33
6FDA,"4,4'-(hexafluoroisopropylidene) diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.14.33
1a,"9,9-bis(4-aminophenyl)fluorene",nan,NC1=CC=C(C=C1)C1(C2=CC=CC=C2C=2C=CC=CC12)C1=CC=C(C=C1)N,nan,nan,photopolymer.14.33
2a,"9,9-bis[4-(aminophenoxy)phenyl]fluorene",C1CN=C2C3=CC=CC=C3SN2C1,nan,nan,nan,photopolymer.14.33
2b,nan,nan,nan,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,nan,photopolymer.14.33
2d,nan,C1CN=C2C3=C(C=C(C=C3)Br)SN2C1,nan,nan,nan,photopolymer.14.33
2f,nan,C1CN=C2C3=C(C=C(C=C3)C4=CC5=C(C=C4)OCO5)SN2C1,nan,nan,nan,photopolymer.14.33
3a,"9,9-bis[(3,4-dicarboxyphenoxy)phenyl]dianhydride",CC(C)C1=C(C(=CC=C1)C(C)C)N=CC2=CC=CC=C2[O-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C(Cl)Cl.C(Cl)Cl.[Cl-].[Pt+2],nan,nan,nan,photopolymer.14.33
MBCA,"4,4'-Methylenebis(cyclohexylamine)",C1CC(CCC1CC2CCC(CC2)N)N,C(C1CCC(CC1)N)C1CCC(CC1)N,nan,nan,photopolymer.14.37
NBDA,"2,5(2,6)-bis(aminomethyl)bicyclo-[2.2.1]-heptane",CC(C(=O)O)NC1=CC=C(C2=NON=C12)[N+](=O)[O-],nan,nan,nan,photopolymer.14.37
NDA,"3,5,6-Tricarboxy-2-carboxymethylnorbornane-2:3,5:6-dianhydride",nan,nan,[O-]N=O.C1CCC(CC1)[NH2+]C2CCCCC2,nan,photopolymer.14.37
CBDA,"1,2,3,4-cyclobutanetetracarboxylic dianhydride",CCCCCC1=CC(=C(C(=C1C(=O)O)O)C2C=C(CCC2C(=C)C)C)O,nan,nan,nan,photopolymer.14.37
TDA,"3,4-dicarboxy-1,2,3,4-tetrahydro-1-naphthalenesuccinic anhydride",nan,C(=O)(O)C1CC(C2=CC=CC=C2C1C(=O)O)C1CC(=O)OC1=O,nan,nan,photopolymer.14.37
BDT,"1,2,3,4-butanetetracarboxylic dianhydride",nan,nan,O=C1CC(C2CC(=O)OC2=O)C(=O)O1,nan,photopolymer.14.37
PMDA,nan,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,nan,photopolymer.15.167
nan,diamine,nan,nan,NN,nan,photopolymer.15.167
TAEA,Tris(2-aminoethyl)amine,C(CN(CCN)CCN)N,NCCN(CCN)CCN,nan,nan,photopolymer.15.185
BTDA,"3,3',4,4'-benzophenone tetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,photopolymer.15.185
6FBCA,"4,4'-hexafluoroisopropylidenebis(cyclohexylamine)",nan,FC(C(C(F)(F)F)(C1CCC(CC1)N)C1CCC(CC1)N)(F)F,nan,nan,photopolymer.15.213
CBDA,"1,2,3,4-Cyclobutanetetracarboxylic dianhydride",CCCCCC1=CC(=C(C(=C1C(=O)O)O)C2C=C(CCC2C(=C)C)C)O,nan,nan,nan,photopolymer.15.213
6FDA,"4,4'-(Hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.15.213
s-BPDA,nan,C1=CC2=C3C=C1C4=CC(=C(C=C4)C(=O)OC2=O)C(=O)OC3=O,nan,nan,nan,photopolymer.16.233
PDA,P-phenylenediamine,nan,nan,Nc1ccc(N)cc1,nan,photopolymer.16.233
